Product Name(PN),  Search Result by PN  ,Company Name(CN),Search Result by CN,Designer (D),Search Result by D,Search Result by PN+CN,Search Result by PN only in HK,Search Result by PN only in China,Search Result by PN only in Amazon.com
the kill screen platinum edition,515,Mike Garley,"20,700",Michael Ian Garley,"13,600","20,300","219,000","1,260,000","5,100"
app custom shoes calzado personalizado madame mari,9,Mariana Bazaldúa,3,Mariana Berenice Bazaldua Martinez,2,7,8,"26,900",0
the warrior and the box,5,Michael Hanaoka,548,Michael Hanaoka,244,"65,200","310,000","1,300,000","166,000"
8 bit art gospel of john comic book,173,David Pat,"131,000",David Pat,"128,000","128,000","42,100","150,000","8,940"
vufine the next evolution in wearable displays,519,Vufine,"68,900",Goro Kosaka,"6,890","67,300",1,"8,560",7
fusion bases,"9,730",Wamp,"3,700,000",Brett Johnson,"430,000","3,580,000",7,"1,230,000","4,660"
movie buff the greatest movie trivia card game,658,Golden Games,"326,000",Marc Goldner,"11,100","385,000","107,000","22,400,000","8,310"
osmobot truly affordable hydroponic aquaponic moni,164,Zach Stein,"20,800",Zach Stein,"20,100","21,000",5,310,0
upworks ultimate modular miniature castle building,212,"True Adventures, Ltd.",656,(name not available),"892,000",675,1,"88,700",0
renegade the first 3d pen to run on plastic bags a,118,Daniel Edwards,"292,000",Daniel Alfredo Edwards,2,"289,000","1,950","122,000",84
elos the first and only urban lifestyle skateboard,525,Elos Skateboards,"62,300",Winston Wang,"15,300","62,900",3,8,69
lift anti gravity levitating smartwatch charger,"3,330",Levitation Works,"28,600",Andre Weems,"59,500","30,300",6,"74,700",27
ogre miniatures set 1,"3,090",Steve Jackson Games,"592,000",Susan de la Torre Bueno,50,"595,000",7,"163,000","1,280"
bring divekick to pc,740,Adam Heart,"150,000",(name not available),"892,000","163,000",806,"53,600",164
deuce wallet the best 2 in 1 minimalist bifold rfi,273,Alphonso Ngiam,"1,340",Alphonso Ngiam,"5,220","5,400",1,"2,640",0
spelly straws,"2,140",Spelly,"139,000",Randy Stein,"12,700","138,000",7,"1,790,000","3,270"
papers and paychecks,"2,870",Lev Lafayette,"18,900",Lev Lafayette,"18,600","26,300",1,"252,000",229
dungeon crawl classics scratch off holiday module,262,Goodman Games,"162,000",Joseph Earl Goodman,76,"168,000",2,"32,200",8
angarita crafted company handcrafted lamps,8,Angarita,"2,020,000",Alberto Angarita,"14,000","2,010,000",1,"32,700",149
lenore a debut album,170,Lenore.,"11,500,000",Rebecca Miller,"792,000","11,800,000","20,900","46,800",386
9mm luxury swiss watches,10,9MM Watches,873,Dave  Goldstein,"18,400",871,"17,500","193,000",994
tesla self rechargeable electronic lighter,"2,020",Mark F Pauling,"2,510",Mark Pauling,"2,540","2,850",1,"74,600","1,410"
the smart garden your solution for better food,"1,020",Click & Grow,"488,000",Rain  Rannu,"13,400",856,3,"2,580,000","6,710,000"
listnr your listening assistant,988,Rie Ehara,"1,810",(name not available),"892,000","6,300",1,"4,040,000","47,100,000"
crucial 0,"260,000",Philippe Schlesser,"1,200",Philippe Schlesser,"2,870","267,000",15,"1,200,000","281,000"
jetgetters fighter jet hijacking multiplayer shoot,57,tinyBuild,"350,000",(name not available),"892,000","348,000",5,211,0
special edition sorcery role playing game tabletop,5,TTI,"30,900,000",(name not available),"892,000","30,900,000","77,100","1,550,000","5,980"
the gaslight keychain lantern go forth be luminous,"2,160",Gamble Staempfli,"39,300",Gamble Staempfli,"38,300","39,400",4,"16,700",6
the world council,"459,000",Creator Studio,"451,000",Lok Man Leung,"23,900","1,140,000","4,580","3,110,000","120,000"
ballven fuel cell a titanium and stainless steel h,4,Stephen Ball & Gregory Venters,6,Gregory Venters,"26,500",6,5,44,0
lumiere the ultimate eye protection lamp you take,69,Retina Light,"37,100",Alan Sawyer,"34,400","37,200","25,700","145,000","2,710"
machine era ti5 slim wallet,"17,400",Adam Hogsett,"6,590",Adam Hogsett,"36,300","8,380",4,"8,250",106
the stk multi tool sliding tool and knife for ever,430,Jon Bahlatzis   Kopis Designs,268,Jonathan  Bahlatzis,238,519,1,"61,100",14
riki restart,49,Yarmo,"690,000",Dmytro Yarmolenko,93,"759,000",1,"13,300",35
the rangers bloodstone a miniwargaming movie proje,245,David Nordquist,"4,230",Aaron Straus,"17,100","4,080",1,8,0
the exiled siege expand your city and fight for su,39,Mateusz Albricht,"232,000",Anna Wiktorowicz,"8,930","236,000","8,960","236,000",17
legacy of mana rpg setting guide for pathfinder an,192,Norse Foundry,"78,900",Drew Foulke,230,"78,000",1,"66,300",6
bonjour smart alarm clock with artificial intellig,"5,230",BONJOUR,"240,000,000",Chris Olenik,"9,790","236,000,000",2,"80,500",3
joonie a car seat cover for everyday adventures,176,Danielle Curtis,"68,300",Collin Whitehead,"15,200","67,400",5,"21,100",1
romantic playing cards,"6,600",Timothy Kremer,"3,460",Tim Kremer,"8,600","5,010",1,"965,000","132,000"
shitbag,"272,000",Easy Breezy Feces,9,(name not available),"1,460,000","318,000",288,"27,100",139
hodor hold the door tribute doorstop,"1,320",Tony Wang,"222,000",Tony Wang,"204,000","219,000",27,"53,500",1
the nobles epic tabletop fighting game,107,William Kovach,"8,100",William Kovach,"7,980","19,200",5,"279,000",88
maximum mayhem dungeons 4 vault of the dwarven kin,90,Mark Taormino,"21,700",Mark Taormino,"21,000","5,570",1,"32,200",2
aura the first ever wirelessly powered christmas l,64,Chris Higgins & Hardeep Johar,"28,700,000",(name not available),"1,460,000",4,"39,000","145,000","1,760"
isaribi fishing market play and outwitting your op,247,Gryphon and Eagle Games,"1,840",Frederick Soued,229,"1,850",1,31,0
milk teeth cafe and stores,82,Josh Bowker,"2,040",Joshua David Bowker,2,"2,020","982,000","544,000","1,810"
root a robot to teach coding,"2,960",Root Robotics,"126,000",Zivthan Dubrovsky,"4,080","130,000",6,"678,000",98
keyper character edition,382,R & D Games,"8,190,000,000",Richard Breese,"33,200",315,1,"6,360",97
bohk a bottle opening house key,151,Bryan Sweeney,"29,000",(name not available),"892,000","28,800",1,8,"1,420"
redefine reality with computing enabled eyewear,161,Vergence Labs (deleted),"94,600",(name not available),"892,000",10,"12,600","321,000",59
vast the crystal caverns second printing with mini,338,Patrick Leder,"267,000",Patrick Leder,"267,000","269,000",5,"59,700",14
blackfin camper box hard shell roof top tent,546,Black Fin Camper Box,"1,230",drew hollenback,340,"1,430",20,97,1
kytcho sharpness redefined chef knife made in the,312,KYTCHO Power Blade + US FinCera (deleted),2,Angelika Steiger,"2,640",288,4,10,0
wildlife toys animated hardwood toys since 1978,223,David Wakefield,"489,000",David J Wakefield,"33,500","467,000","55,600","505,000",492
highrisers,"18,600",Solar Powered Games,"3,820",Markus Grupp,"6,380","78,700",308,"154,000",311
the soundtrack of your life capsule fashion collec,8,Muse & Lyrics,"193,000,000",Vi Ngoc Tuong Nguyen,5,6,"953,000","693,000","1,350"
crocodile to shoot half underwater go pro photos,"29,600",Matias,"63,100,000",Hugo Adriazola,"1,150","62,600,000",6,"44,700","9,670"
juicebox the smartphone charging essential,284,JuiceBox,"2,080,000",Jack William Beeler,"228,000","2,130,000",216,8,170
the 1st motion tracking diy smart home security ca,145,iSmartAlarm,"1,540,000",Zachary David Sutton,167,"1,530,000",1,"1,150,000","1,360"
fixate gel pads,"164,000",Frosted Concepts,"1,610",Darren Freese,"1,970","209,000",995,"44,600","4,160"
zencube the coolest healthiest smart lamp,270,LIFE,"7,070,000,000",Faisal Amjad,"10,400","7,080,000,000",7,"2,410",17
encounter one,"801,000",Möbius Dance,1,Gianluca Vincentini,"5,380","493,000","3,780","2,160,000","392,000"
reach me the movie kickstarter,129,John Herzfeld,"107,000",(name not available),"892,000","105,000","103,000","571,000","1,210"
destin learning free s w training learning sans lo,4,Eric Frick,"25,700",Eric Frick,"24,100","26,300","2,000","173,000",2
impossible 0,"36,300",Impossible Technology,"84,800",David Peat,"119,000","65,600",17,"1,920,000","2,480,000"
the periodic table of the presidents poster,484,Griffin Gonzales,"2,210",Griffin Gonzales,"6,330","2,490","44,700","105,000",531
adventurous ink,"7,420",Tim from Gather Outdoors,193,Paul Timothy C Frenneaux,"5,710","1,440",6,"4,410,000","51,100"
tittle x the worlds first ultra affordable golf si,612,ULIKE CREATIVE Inc.,"1,730",Seung Jae Yang,"15,100","1,840",1,"223,000","2,120"
onewell alkaline water bottle bio degradable and f,4,OneWell AB,515,Per Marcus Bernestrom,2,505,5,"14,100",0
hive smart home security and entertainment for eve,84,Hive,"85,500,000",Chad Rasmussen,"19,200","84,800,000","3,000","462,000",229
uled your powerful led flashlight,67,ULed Team,"3,520",Yury Mosha,"12,700","3,360",9,7,4
eyse,"448,000",Vairdo,"6,980",Trudi Johnson,"27,800","442,000",328,"3,970,000",562
the herman house a place for music and art,546,Billy Martin,"440,000",William  Martin,"1,590,000","442,000","41,100","426,000","65,100"
anonabox a tor hardware router,"2,540",August Germar,"1,950",(name not available),"892,000","2,480",2,"8,500",62
freehand arts project help us publish our 2016 ant,1,Murphy Anne Carter,467,Murphy Carter,"15,700",464,"2,300","24,200",16
playground detroit a space to uplift artists,231,PLAYGROUND DETROIT,"41,300",Paulina Petkoski,"3,780","38,800",2,"80,300",2
wool suede redefining warm and stylish winter glov,10,wool + suede,"1,080,000",Joshua Le,"64,700","134,000",1,9,6
insect mandala fine bone china collection made in,193,The Curious Department,"51,100", Chris McShane,"12,400","52,100",2,"635,000",53
leningrad 41 strategy game battle on the eastern f,199,VentoNuovo Games,"28,700",Emanuele Santandrea,"89,800","29,100",1,"116,000",58
winter ultra thin wireless charging heating insole,209,+t  // Our passion is technology,4,Domenico De Lillo,"9,300",427,1,"195,000",657
nuvi unlease your sleep force,143,William Sung,"36,500",Francis Lin,"20,800","36,700",1,"68,700",15
montfort watches time to innovate,560,Montfort Watches SA,748,Philippe Alfred Kuratle,"10,900",801,2,"32,200","1,550"
the joey tag child safety wearable with short rang,133,Le Vise Products LLC,"1,160",Terrell Bennett,"18,100","3,250",2,"491,000",420
sphidget a unique fidget spin toy,633,Kevin Michael Sayers,"3,490",Kevin Sayers,"6,930","3,690",2,"1,210",3
the blubug iot and wireless programming shield,284,Twob,"134,000",Premkumar Ganesan,522,"132,000",2,7,0
bluetooth 5 ready ble module nano 2 and blend 2,196,RedBear,"245,000",Andy King Fung Chan,1,"244,000","6,170","19,300",8
dobot m1 pro robotic arm for makers and businesses,"8,010",dobot.cc,"31,400",Tully Gehan,"1,760","34,800",5,"23,000",62
nature and occult inspired art prints,9,Amy Heather,"114,000",Amy Heather Louise Pike,"2,400,000","112,000","109,000","1,470,000","3,310"
lost genius nyiregyhazi live at century club of ca,80,Tomoyuki Sawado,898,Tomoyuki Sawado,"1,520",904,18,735,0
the tommy knocker arduino compatible secret knock,148,Patrick Thomas Mitchell,"13,400",Patrick Mitchell,"150,000","13,200",14,"2,090",0
cast the worlds first real time home entertainment,198,CASTbyGENII,"11,700",Anh Richard  Phan,53,"6,990",1,"1,320,000","13,100"
soda drinker pro sipstarter,6,Snowrunner Games,"26,700",(name not available),"1,470,000","1,450",5,5,0
the skarp laser razor 21st century shaving,"10,100",Skarp Technologies,"6,910",Oliver Pearce Owen,257,"35,000",2,"1,320",0
experience riga vr,3,Nicholas Ross,"198,000",Tatiana Ross,"8,060","197,000",3,"520,000",10
ecstapro the first gopro session extended battery,"1,920",EcstaPro,"55,800",Yaacov Brenenson,82,"56,000",1,"3,960",97
dokicam view new worlds,143,DOKI Inc.,"2,420",Leon Inki  Song,31,"2,460",1,141,0
wasp 100 c the next generation of production light,67,Hive Lighting,"50,900",Jonathan Miller,"778,000","52,200",1,"224,000",304
powerbulb led light bulb with two usb charging por,10,Mega Tiny Corp.,"146,000",Josh Neumann,"39,300","144,000",2,"12,200",3
nexo tires and ever tires flat free forever,577,Canyon Crawler,"34,100",David Ballard,"122,000","35,000",2,"22,300",5
cork up cycle used bottles into beautiful speakers,160,"Leedeyeon, Inc.",622,Leon K Kim,688,"1,320","23,000","451,000","13,500"
dotlens smartphone microscope lens,176,Wei Chuan Shih,"11,600",Wei-Chuan Shih,"10,200","11,900",1,709,4
kava the ultimate bag for your everyday carry,375,Kava Designs (deleted),225,Kasra Baraei,81,360,5,"92,700",9
old world leather wallets totes and backpacks,91,Jonathan Jamieson,"3,520",Jonathan William Jamieson,2,"3,470",1,"1,200,000","2,240"
anura the beginning of the drone era for the masse,95,Jason  Lam,"130,000",(name not available),"930,000","129,000","5,260","6,210",0
when our journey ends a visual novel,"24,600",Afterthought Studios,"4,110",N/A Darren Kwok Ka Shing,"39,100","5,100",2,"935,000","22,300"
depth punch fine art reproductions paintings into,8,Mark Zandi,"187,000",Mark  Zandi,"159,000","184,000","95,900","5,790,000",304
colored abstract paintings,"27,000",Camilla Rønnebæk Pedersen,201,Camilla Roennebaek Pedersen,236,"165,000",185,"15,700,000","2,960"
oculuste the very first fully interchangeable sung,7,Oculuste,"1,460",Joseph Guerra,"33,500","1,460",5,5,0
path to peace of mind,"114,000",Path to Peace of Mind,"152,000",Julie A Brown,"161,000","170,000",454,"7,030,000","66,800"
zone out between the lines a hand drawn adult colo,4,Nicholas Smith,"548,000",Nicholas Smith,"538,000","377,000",1,"1,710,000","2,580"
block print entrepreneur,7,Aaron Riviere,255,Aaron James Riviere,4,993,"281,000","759,000","2,060"
custom paintings just for you,725,Kacie,"6,710,000",Kacie VandenHull,155,"6,740,000","1,070,000","7,870,000","21,900"
exspelled a magical paper craft game expelled,302,AndHeGames,"3,480",Andrew J Miller,"239,000","1,160",1,"548,000",200
the eggmazing egg decorator,"20,800",Scott Houdashell,"2,470",Scott  Houdashell,"2,440","23,500",6,"13,200",180
the barbaric box mtg deck boxes made by a barbaria,8,Eddie Martin,"391,000",Eddie Martin,"402,000","436,000",1,"223,000",75
passive agressive enamel pins,189,Alison Coley,"3,130",Alison Elizabeth Coley,3,"3,310",0,"114,000",4
quetzalcolor mexican characters and legends,4,Yess Bertado Castell,127,Yessica Bertado Castell,46,343,5,89,6
galactic plastics custom shop decals,186,Rob Panick,"2,170",Rob Panick,"2,190","2,460","83,700","359,000",124
clean carriage soap company,470,Dennis Rotsch,338,Dennis Rotsch,344,"1,850",1,"164,000",391
the workshop jenniethepotter,6,Jennie Lanners,191,Jennie Lanners,190,677,15,"51,000",0
koze lightweight inflatable and amazing comfort an,153,Made In College,"3,010,000",Matthew Richmond,"27,100","20,900,000",18,"10,100",2
pedestal footwear the future of performance traini,461,Pedestal Footwear,"5,850",Michael Lyon,"58,200","1,860",1,"5,330,000","20,200"
segunda jornada desdecero,4,DESDECERO,"25,300",LOLA PEREZ DE CASTRO GOMEZ,262,"80,100",184,"1,590",3
a beautiful handmade shoe boot for men and women,3,Faran Saberi,414,Faran Saberi,413,"1,770",1,"3,560,000","840,000"
harperwoods define your kick,303,Harperwoods Customs,170,Anuj Singhal,"163,000",292,7,"23,200",46
woodymac magnetic building blocks,"15,500","WoodyMac, Inc.","114,000",(name not available),"1,470,000","115,000",38,"3,970",3
professional ash cosplay photos,5,Katie,"320,000,000",Katherine Kent,"12,800","318,000,000",1,"4,700,000","1,810"
bud spencer and terence hill slaps and beans,"14,400",Trinity Team,"79,000",Marcus ZÃ¶lch,1,"149,000",7,"191,000",2
in2 minds physical album,"1,120",Anna Blue,"497,000",Matthias Kirsch,"22,200","494,000",2,"969,000","4,280"
carry on,"4,230,000",Enfabled,"1,490",Philip Jimison,429,"94,200,000","487,000","2,130,000","792,000"
can6 cerebus archive number six,94,Dave Sim,"167,000",Dave Sim,"159,000","168,000",1,306,2
edlee shared experiences buy one share one,169,edlee Designs,516,Garrett Gustafson,"6,840","1,730",1,"8,460",9
tiny lens turn your phone into a microscope,116,Tiny Lens,"48,800",Garett Ochs,841,"48,700","86,600","19,300,000","2,710"
old school tactical volume i reprint,52,Mark H. Walker,"367,000",Mark Walker,"434,000","366,000",1,"187,000","2,180"
solarquest the space age real estate game deluxe e,10,Valen Brost,642,Valen Brost,"7,170","7,300",2,51,79
stylos titanium ink fountain and rollerball artlin,7,Kostas Metaxas,"45,100",Kostas Metaxas,"45,100","45,100",7,16,1
wild hawaiian guava jam,10,Traveler Terpening (Salmon & Sable),"78,800",Traveler Terpening,"6,210",2,1,"57,300",21
candeltm music inspired light up phone case w char,9,Candel,"3,440,000",Matt Sikora,"4,030","3,470,000",5,5,0
plantsnap identify plants with an app,294,GreenAtom.Earth,"1,650",Eric Ralls,"1,670",620,1,"3,010",0
holyfancy the sustainable daily pack,95,Nection Design,"2,970",La Chanh Jessica Nguyen Diaz Sierra,1,"2,910",6,5,0
4 piece bucket o games,"2,630",Postworldgames Jim Pinto,"2,240",James Pinto,"99,100","1,940",7,"12,500,000","143,000"
living room circus,"53,100",Elinor Harvey,"3,310",Elinor Mary Harvey,"365,000","55,000",8,"898,000","15,700"
sprayprinter smart spray paint technology,306,SprayPrinter,"92,300",Jason Mario Dydynski,678,"92,500",2,445,6
rated cards unique nsfw greeting cards,131,Rated Cards,"159,000",Brett Lindenberg,"1,390","162,000","102,000","133,000",341
larp box a monthly subscription gift box for larpe,107,Bart Brizee,512,Bart Brizee,500,"1,190",1,"40,700","1,220"
love your face natural skincare for fearless women,85,Laurel Staples,"3,840",(name not available),"708,000","10,900","861,000","4,050,000","2,570"
